,filename,pBlockIODelays,pChildrenKernelMode,pChildrenUserMode,pCmdLine,pCpuTimeKernelMode,pCpuTimeUserMode,pId,pMajorPGFault,pName,pNonvoluntaryContextSwitches,pNumThreads,pPGFault,pResidentSetSize,pVirtualMemoryBytes,pVoluntaryContextSwitches,currentTime
0,2021_08_21__20_15_32_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,7,539,stress-ng,7,1,247,1573,55595008,70,1629576934
1,2021_08_21__20_15_34_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,7,539,stress-ng,8,1,247,1573,55595008,78,1629576936
2,2021_08_21__20_15_36_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,7,539,stress-ng,10,1,247,1573,55595008,88,1629576938
3,2021_08_21__20_15_38_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,7,539,stress-ng,12,1,247,1573,55595008,98,1629576940
4,2021_08_21__20_15_40_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,7,539,stress-ng,14,1,247,1573,55595008,108,1629576942
5,2021_08_21__20_15_42_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,7,539,stress-ng,16,1,247,1573,55595008,118,1629576944
6,2021_08_21__20_15_44_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,7,539,stress-ng,18,1,247,1573,55595008,128,1629576947
