,filename,pBlockIODelays,pChildrenKernelMode,pChildrenUserMode,pCmdLine,pCpuTimeKernelMode,pCpuTimeUserMode,pId,pMajorPGFault,pName,pNonvoluntaryContextSwitches,pNumThreads,pPGFault,pResidentSetSize,pVirtualMemoryBytes,pVoluntaryContextSwitches,currentTime
0,2021_08_25__06_28_38_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,39,1,202,1388,55099392,68,1629872922
1,2021_08_25__06_28_42_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,41,1,202,1388,55099392,78,1629872925
2,2021_08_25__06_28_45_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,43,1,202,1388,55099392,88,1629872928
3,2021_08_25__06_28_48_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,44,1,202,1388,55099392,99,1629872931
4,2021_08_25__06_28_51_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,46,1,202,1388,55099392,109,1629872934
5,2021_08_25__06_28_54_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,48,1,202,1388,55099392,118,1629872937
6,2021_08_25__06_28_57_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,49,1,202,1388,55099392,128,1629872940
7,2021_08_25__06_29_00_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,52,1,202,1388,55099392,138,1629872943
8,2021_08_25__06_29_03_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,53,1,202,1388,55099392,148,1629872946
9,2021_08_25__06_29_06_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,55,1,202,1388,55099392,158,1629872949
10,2021_08_25__06_29_09_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,58,1,202,1388,55099392,168,1629872952
11,2021_08_25__06_29_12_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,60,1,202,1388,55099392,178,1629872955
12,2021_08_25__06_29_15_delta.json,0,0,0,stress-ng --cpu 2 --cpu-method fft --cpu-ops 50000,0,0,10,538,stress-ng,62,1,202,1388,55099392,188,1629872958
